subject,sender_name,sender_mail,date_sent,date_cutoff_click,date_cutoff_activity,id,uuid_wo,uuid,treatment,hard_bounce
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier@brachytix-pharma.com,16jan2023,06feb2023,27feb2023,20930,00033781ef2ff4a0ec2e5925d7433d79,00033781ef2ff4a0ec2e5925d7433d79@brchytx.com,low/high,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier.vanwensveen@brachytix-health.com,16jan2023,06feb2023,27feb2023,13453,000392dda592a762b395e1b7f8d45f9f,000392dda592a762b395e1b7f8d45f9f@brchytx.com,low/high,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier@brachytix-pharma.com,16jan2023,06feb2023,27feb2023,43939,0007bb3a3fe49297fa6ae8a62cbea998,0007bb3a3fe49297fa6ae8a62cbea998@brchytx.com,low/high,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pvw@brachytix-hq.com,16jan2023,06feb2023,27feb2023,26973,00083f1a906e2f5af0c084ccdf205467,00083f1a906e2f5af0c084ccdf205467@brchytx.com,high/high,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier@brachytix-team.com,16jan2023,06feb2023,27feb2023,11478,000ae0af1299633558784fea89fc7050,000ae0af1299633558784fea89fc7050@brchytx.com,high/low,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier@brachytix-hq.com,16jan2023,06feb2023,27feb2023,8675,0018f71ba5a54b555334151f4c5e2c17,0018f71ba5a54b555334151f4c5e2c17@brchytx.com,high/high,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pvw@brachytix-lab.com,16jan2023,06feb2023,27feb2023,1956,001fb9b5fdc957650697efc6ec03d1ab,001fb9b5fdc957650697efc6ec03d1ab@brchytx.com,high/low,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier.vanwensveen@brachytix-health.com,16jan2023,06feb2023,27feb2023,44110,002b91b4f6e16892db23b079812da2bb,002b91b4f6e16892db23b079812da2bb@brchytx.com,high/high,1
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier.vanwensveen@brachytix-hq.com,16jan2023,06feb2023,27feb2023,14085,002d53f0cc2cb3c7ead40f61ba333078,002d53f0cc2cb3c7ead40f61ba333078@brchytx.com,low/high,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier.vanwensveen@brachytix-corp.com,16jan2023,06feb2023,27feb2023,39356,002d5cbda91b310401ca1492f0cf0346,002d5cbda91b310401ca1492f0cf0346@brchytx.com,low/high,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pvw@brachytix-team.com,16jan2023,06feb2023,27feb2023,67621,0031d01e9e3c18cb587e28686d44efa6,0031d01e9e3c18cb587e28686d44efa6@brchytx.com,low/high,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier.vanwensveen@brachytix.com,16jan2023,06feb2023,27feb2023,1840,0034f3ba6d3756cfe9255b3e5918c99b,0034f3ba6d3756cfe9255b3e5918c99b@brchytx.com,low/low,0
Healthcare - Secured investor commitments - Seed,Pier van Wensveen,pier.vanwensveen@brachytix-hq.com,16jan2023,06feb2023,27feb2023,5809,0039393929895b3f417d507722b25506,0039393929895b3f417d507722b25506@brchytx.com,low/high,1
